333;test;64;2014-03-22;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1111111;;;;;
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;234;134;234;234;234
;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";yyyy;;;;;
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";555;;555;;;
;test;64;2014-03-22;Белгород;"Седьмой континент г.Белгород пр-т Б.Хмельницкого д 164";"г.Белгород пр-т Б.Хмельницкого д 164";"(77) 814701";zzzz;;;;;
;test;64;2014-03-22;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";yyyy;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";432;432;432;234;432;234
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Волгоград;"реал,-Гипермаркет ООО (8022 Волгоград)";"400075, г. Волгоград, ул. Историческая, 175";"(77) 811012";88888;;888888;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
