;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
;user;59;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";1;1;1;1;1;1
;user;59;2014-03-21;Астрахань;"О`КЕЙ, г. Астрахань, ул. Боевая, д.25";"г. Астрахань, ул. Боевая, д.25 ТРЦ Алимпик";"(77) 813501";3;3;3;3;3;3
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";2;2;2;2;2;2
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1;1;1;1;1;1
;user;48;2014-03-19;Москва;"ООО реал-Гипермаркет (8045 Серпухов)";"142203,Московская обл.,г.Серпухов,б-р. 65 лет Победы д.4";"(77) 815414";321;;321;;;
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1019 Москва)";"109548, г. Москва, ул. Шоссейная, 2 б";"(77) 817708";;331;930;41680,15;566;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1048 Москва)";"140073, РФ, Московская обл., пос. Томилино, 23 км. Ново-Рязанского ш., 17";"(77) 817709";;70;201,25;10710,57;567;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1049 Москва)";"142784, Московская обл., Ленинский район, д. Картмазово, стр. 7";"(77) 817710";;209;611,25;27171,99;568;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1061 Москва)";"141580, МО, Солнечногорский район, д. Черная грязь, ул. Торгово-Промышленная, д. 5";"(77) 817712";;258;725;38032,21;569;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1067 Москва)";"143987, Московская обл., г. Железнодорожный, ул. Советская, д. 60";"(77) 817711";;154;427;20747,35;570;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1317 Серпухов)";"Московская обл.г.Серпухов бульвар 65 лет Победы д,4";"(77) 815415";;54;141;6354,67;572;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1444 Моск.обл)";"Московская обл.Котельники ,Новорязанское шоссе д.5";"(77) 817731";;281;689;29533,58;573;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1018 Москва)";"105523, г. Москва, МКАД, 104 км, д. 6";"(77) 817707";;290;814;37964,52;565;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1017 Москва)";"123458, г. Москва, Проезд № 607, д. 14";"(77) 817706";;175;469;22915,09;564;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;277;740;34515,08;571;20.03.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";2;4;15;1500;005;01.04.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";3;6;23;2000;007;01.04.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";4;8;30;3000;008;02.04.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";;360;1062,50;50948,27;559;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";;195;515;25470,02;560;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";;196;518;28917,08;561;20.03.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";123;;123;;;
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1017 Москва)";"123458, г. Москва, Проезд № 607, д. 14";"(77) 817706";123;;123;;;
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1014 Москва)";"127411, г. Москва, Дмитровское ш., д.165 б";"(77) 817705";;261;723,50;32633,92;563;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;80;240;9416,40;562;20.03.2014
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";22;22;22;22;22;22
333;test;61;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";111;11;11;11;11;11
333;test;61;2014-03-21;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";33;33;33;33;33;33
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;123;13;;;
333;test;61;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;123;13;;;
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";123;234;134;234;234;234
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";432;432;432;234;432;234
333;test;64;2014-03-22;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1111111;;;;;
;test;64;2014-03-22;Белгород;"Седьмой континент г.Белгород пр-т Б.Хмельницкого д 164";"г.Белгород пр-т Б.Хмельницкого д 164";"(77) 814701";zzzz;;;;;
;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";yyyy;;;;;
#777;user;70;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";2;2;2;2;2;2
;test;64;2014-03-22;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";yyyy;;;;;
333;test;64;2014-03-22;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";555;;555;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";090909;;;;;
333;test;64;2014-03-22;Волгоград;"реал,-Гипермаркет ООО (8022 Волгоград)";"400075, г. Волгоград, ул. Историческая, 175";"(77) 811012";88888;;888888;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
333;test;64;2014-03-22;Ярославль;"МЕТРО Кэш энд Керри ООО (1022 Ярославль)";"150022, г. Ярославль, Проспект Фрунзе, д. 32";"(77) 810708";123;;123;;;
